Time(s),Control_Sequence,Temperature(℃),SOH_Loss,Target_Power
1.000000000000000000e+00,3.967980769068626262e-02,2.499443687652280488e+01,4.609925206750631332e-03,-1.395348127053198368e+04
2.000000000000000000e+00,6.820583431561018373e-02,2.500601968315116252e+01,0.000000000000000000e+00,-1.395151599717536192e+04
3.000000000000000000e+00,9.068728451976970639e-02,2.498229888705101587e+01,0.000000000000000000e+00,-1.395645646641153144e+04
4.000000000000000000e+00,1.090207647710516592e-01,2.500072982992171688e+01,0.000000000000000000e+00,-1.396872968906759343e+04
5.000000000000000000e+00,1.242412752616983418e-01,2.500249851047729521e+01,0.000000000000000000e+00,-1.398939896242449504e+04
6.000000000000000000e+00,1.346655073156932392e-01,2.501658663897509172e+01,0.000000000000000000e+00,-1.401508419614636114e+04
7.000000000000000000e+00,1.445964149108700525e-01,2.501470850569828031e+01,0.000000000000000000e+00,-1.404855475512278099e+04
8.000000000000000000e+00,1.534906341666799900e-01,2.503789573403515334e+01,0.000000000000000000e+00,-1.408886830012635255e+04
9.000000000000000000e+00,1.612938830394277101e-01,2.503702389302225839e+01,0.000000000000000000e+00,-1.413577690379522573e+04
1.000000000000000000e+01,1.680849629827988745e-01,2.503457602361198653e+01,0.000000000000000000e+00,-1.419091273869249017e+04
1.100000000000000000e+01,1.672997688018063311e-01,2.502930020132588496e+01,0.000000000000000000e+00,-1.425229841038749510e+04
1.200000000000000000e+01,1.674747430114434388e-01,2.502258616138217917e+01,0.000000000000000000e+00,-1.432000825746215014e+04
1.300000000000000000e+01,1.681243498423188598e-01,2.503240053265293596e+01,0.000000000000000000e+00,-1.439437843756799339e+04
1.400000000000000000e+01,1.689813863084615453e-01,2.503088076382314853e+01,0.000000000000000000e+00,-1.447590501096575827e+04
1.500000000000000000e+01,1.699045489271480414e-01,2.504066681493888780e+01,0.000000000000000000e+00,-1.456357091429438879e+04
1.600000000000000000e+01,1.726326338636300084e-01,2.506104799646468351e+01,0.000000000000000000e+00,-1.465887459933439277e+04
1.700000000000000000e+01,1.760635571268622246e-01,2.506979196388625297e+01,0.000000000000000000e+00,-1.476081423244334474e+04
1.800000000000000000e+01,1.795828666228083681e-01,2.505728923706069722e+01,0.000000000000000000e+00,-1.486836793780540393e+04
1.900000000000000000e+01,1.829270613412546098e-01,2.506570214871339175e+01,0.000000000000000000e+00,-1.498275506022917398e+04
2.000000000000000000e+01,1.859936793990717985e-01,2.505697428685149220e+01,0.000000000000000000e+00,-1.510396714060796512e+04
2.100000000000000000e+01,1.841271333031073432e-01,2.506383292147816633e+01,0.000000000000000000e+00,-1.523153249918168694e+04
2.200000000000000000e+01,1.834004186627333777e-01,2.507402635803370927e+01,0.000000000000000000e+00,-1.536509625014296944e+04
2.300000000000000000e+01,1.833057378868641063e-01,2.507717895756807636e+01,0.000000000000000000e+00,-1.550398903246911505e+04
2.400000000000000000e+01,1.835466317151801252e-01,2.505506700188401226e+01,0.000000000000000000e+00,-1.564780032891524934e+04
2.500000000000000000e+01,1.839567323213059102e-01,2.505924800718868894e+01,0.000000000000000000e+00,-1.579854614013830906e+04
2.600000000000000000e+01,1.844201621293587723e-01,2.505184395713220979e+01,0.000000000000000000e+00,-1.595415862130677124e+04
2.700000000000000000e+01,1.858461224470246975e-01,2.504564552597504701e+01,0.000000000000000000e+00,-1.611457696312095686e+04
2.800000000000000000e+01,1.876528811327497215e-01,2.505882904874941630e+01,0.000000000000000000e+00,-1.628157328578964734e+04
2.900000000000000000e+01,1.895467924575858221e-01,2.507492299472172448e+01,0.000000000000000000e+00,-1.645322718385447297e+04
3.000000000000000000e+01,1.913864385152800052e-01,2.506827620252876798e+01,0.000000000000000000e+00,-1.663047533528214262e+04
3.100000000000000000e+01,1.927574472846474429e-01,2.508401831108967173e+01,-1.953151222551241517e-04,-1.681269306173593577e+04
3.200000000000000000e+01,1.950525234814824149e-01,2.511296671916837298e+01,0.000000000000000000e+00,-1.699969454490553107e+04
3.300000000000000000e+01,1.976428503255326929e-01,2.512356921649820762e+01,0.000000000000000000e+00,-1.719183692071110636e+04
3.400000000000000000e+01,2.002273311141768430e-01,2.511936515815529702e+01,0.000000000000000000e+00,-1.738671761784450791e+04
3.500000000000000000e+01,2.026700691943070232e-01,2.513374100806877820e+01,0.000000000000000000e+00,-1.758642119027594890e+04
3.600000000000000000e+01,1.966628075255806851e-01,2.514718379524290981e+01,0.000000000000000000e+00,-1.779209276031314948e+04
3.700000000000000000e+01,1.918942662160288415e-01,2.513604328502306018e+01,0.000000000000000000e+00,-1.800108503937534988e+04
3.800000000000000000e+01,1.880516813928615749e-01,2.514312945676602595e+01,0.000000000000000000e+00,-1.821489288060064428e+04
3.900000000000000000e+01,1.849117752677796600e-01,2.515945946876482253e+01,0.000000000000000000e+00,-1.843129194378345710e+04
4.000000000000000000e+01,1.823202942196356369e-01,2.515506883953361594e+01,0.000000000000000000e+00,-1.865101305324749410e+04
4.100000000000000000e+01,1.937657818474521065e-01,2.515958595293997746e+01,0.000000000000000000e+00,-1.887575101895905027e+04
4.200000000000000000e+01,2.047348033075853946e-01,2.516201612614916172e+01,0.000000000000000000e+00,-1.910368180349754766e+04
4.300000000000000000e+01,2.142468945058369767e-01,2.515184601622768312e+01,0.000000000000000000e+00,-1.933329551574363722e+04
4.400000000000000000e+01,2.223965182745772373e-01,2.515867725897106055e+01,0.000000000000000000e+00,-1.956668408636264940e+04
4.500000000000000000e+01,2.293832604388577889e-01,2.515795855035176842e+01,0.000000000000000000e+00,-1.980322611516152392e+04
4.600000000000000000e+01,2.223920553303984082e-01,2.517083394366880000e+01,0.000000000000000000e+00,-2.004257755203458146e+04
4.700000000000000000e+01,2.168385361226683461e-01,2.516383631136374532e+01,0.000000000000000000e+00,-2.028485330365445043e+04
4.800000000000000000e+01,2.123651994778373298e-01,2.517444622169492163e+01,0.000000000000000000e+00,-2.052902786198080503e+04
4.900000000000000000e+01,2.087238800147361573e-01,2.518464389080531873e+01,0.000000000000000000e+00,-2.077435989156901633e+04
5.000000000000000000e+01,2.057347206650145255e-01,2.519743610263044076e+01,0.000000000000000000e+00,-2.102253262508344778e+04
5.100000000000000000e+01,2.145771523610242593e-01,2.518923448074746929e+01,0.000000000000000000e+00,-2.127276492172111466e+04
5.200000000000000000e+01,2.234651168814676403e-01,2.520133773817600797e+01,0.000000000000000000e+00,-2.152293743385792186e+04
5.300000000000000000e+01,2.312948417386924693e-01,2.519285566058053050e+01,0.000000000000000000e+00,-2.177503531232065870e+04
5.400000000000000000e+01,2.379778370112601293e-01,2.519869507224331429e+01,0.000000000000000000e+00,-2.202934724733332041e+04
5.500000000000000000e+01,2.436516607254302635e-01,2.519978530905255454e+01,0.000000000000000000e+00,-2.228523713085847339e+04
5.600000000000000000e+01,2.469704287966943967e-01,2.520174515916332325e+01,0.000000000000000000e+00,-2.254276731154609297e+04
5.700000000000000000e+01,2.511183594965247790e-01,2.520643244128253002e+01,0.000000000000000000e+00,-2.280095997721296590e+04
5.800000000000000000e+01,2.550327483480026025e-01,2.520488349862490907e+01,0.000000000000000000e+00,-2.305970057614571488e+04
5.900000000000000000e+01,2.584697669377912232e-01,2.519364594016012759e+01,0.000000000000000000e+00,-2.331944586382178750e+04
6.000000000000000000e+01,2.614290471843957464e-01,2.520389202556614450e+01,0.000000000000000000e+00,-2.357879644012079734e+04
6.100000000000000000e+01,2.625760296467366528e-01,2.521329525813466432e+01,-4.001252353191375732e-03,-2.383892815642493224e+04
6.200000000000000000e+01,2.648363628246439005e-01,2.521643559753637831e+01,0.000000000000000000e+00,-2.409900267331153009e+04
6.300000000000000000e+01,2.671595730395213142e-01,2.523341612188816896e+01,0.000000000000000000e+00,-2.435969379545810079e+04
6.400000000000000000e+01,2.692574154075587645e-01,2.524308053453753331e+01,0.000000000000000000e+00,-2.461884987646843729e+04
6.500000000000000000e+01,2.710845409494011538e-01,2.526999931334375304e+01,0.000000000000000000e+00,-2.487988301653378949e+04
6.600000000000000000e+01,2.818724753370180913e-01,2.526965108706182761e+01,0.000000000000000000e+00,-2.513842300524667007e+04
6.700000000000000000e+01,2.926486248975432303e-01,2.527343437327342457e+01,0.000000000000000000e+00,-2.539734770413016304e+04
6.800000000000000000e+01,3.019977711289368316e-01,2.526124729943074954e+01,0.000000000000000000e+00,-2.565559020974696250e+04
6.900000000000000000e+01,3.099475970725676932e-01,2.527317858407188567e+01,0.000000000000000000e+00,-2.591277441388411899e+04
7.000000000000000000e+01,3.166988291662153898e-01,2.527206241079663585e+01,0.000000000000000000e+00,-2.617052631091976218e+04
7.100000000000000000e+01,3.206614386350487567e-01,2.527562083117749125e+01,0.000000000000000000e+00,-2.642606689803530389e+04
7.200000000000000000e+01,3.256364784918765465e-01,2.525683404876101790e+01,0.000000000000000000e+00,-2.667996419630686432e+04
7.300000000000000000e+01,3.302315327357296937e-01,2.525920447175170125e+01,0.000000000000000000e+00,-2.693305719606513594e+04
7.400000000000000000e+01,3.342464702140437449e-01,2.525086863811613469e+01,0.000000000000000000e+00,-2.718374429769813651e+04
7.500000000000000000e+01,3.377065404947146021e-01,2.526139045508172032e+01,0.000000000000000000e+00,-2.743330666319758529e+04
