Time(s),Control_Sequence,Temperature(℃),SOH_Loss,Target_Power
1.000000000000000000e+00,1.249699750735603840e-02,2.502262715960822703e+01,8.255857974290847778e-03,-6.124829761362504360e+04
2.000000000000000000e+00,2.148174196532168928e-02,2.503802392722154480e+01,0.000000000000000000e+00,-6.126206138922851824e+04
3.000000000000000000e+00,2.856535438892038314e-02,2.503545993862456598e+01,0.000000000000000000e+00,-6.131143356884014793e+04
4.000000000000000000e+00,3.434338489282542234e-02,2.503065715592045848e+01,0.000000000000000000e+00,-6.139732563553210639e+04
5.000000000000000000e+00,3.914132967727606410e-02,2.504277234870024671e+01,0.000000000000000000e+00,-6.151907443918101490e+04
6.000000000000000000e+00,5.053704135797039421e-02,2.504881974203566486e+01,0.000000000000000000e+00,-6.167550069467151479e+04
7.000000000000000000e+00,6.024372743345045300e-02,2.504278918932619291e+01,0.000000000000000000e+00,-6.186412952477517683e+04
8.000000000000000000e+00,6.839975305506480752e-02,2.504607991787861465e+01,0.000000000000000000e+00,-6.209110819878947223e+04
9.000000000000000000e+00,7.528898470964148770e-02,2.504149406097563713e+01,0.000000000000000000e+00,-6.235196181680687005e+04
1.000000000000000000e+01,8.114534898685377140e-02,2.504657807393632751e+01,0.000000000000000000e+00,-6.265111992279157130e+04
1.100000000000000000e+01,8.515146868398505708e-02,2.504667055249150565e+01,0.000000000000000000e+00,-6.298518279271201754e+04
1.200000000000000000e+01,8.905239865481154315e-02,2.504437131034213238e+01,0.000000000000000000e+00,-6.335420150121584447e+04
1.300000000000000000e+01,9.261012045528743686e-02,2.504019818085255977e+01,0.000000000000000000e+00,-6.375551025958477112e+04
1.400000000000000000e+01,9.578163686988683256e-02,2.504685463728793948e+01,0.000000000000000000e+00,-6.418879039717015985e+04
1.500000000000000000e+01,9.858388624378930376e-02,2.504990727727171773e+01,0.000000000000000000e+00,-6.465707619752442406e+04
1.600000000000000000e+01,9.999981201848165413e-02,2.504114610259446749e+01,0.000000000000000000e+00,-6.515777956580465980e+04
1.700000000000000000e+01,1.016811579179691949e-01,2.503915397915149654e+01,0.000000000000000000e+00,-6.569048368445904634e+04
1.800000000000000000e+01,1.033780171529984637e-01,2.501959076127977610e+01,0.000000000000000000e+00,-6.625790754058562743e+04
1.900000000000000000e+01,1.049897275861207402e-01,2.502120947519788530e+01,0.000000000000000000e+00,-6.685623626659520960e+04
2.000000000000000000e+01,1.064792351110067370e-01,2.500358112617810491e+01,0.000000000000000000e+00,-6.748536923799272336e+04
2.100000000000000000e+01,1.111019846634705849e-01,2.501124109019734831e+01,0.000000000000000000e+00,-6.814827800585624937e+04
2.200000000000000000e+01,1.157378955071574900e-01,2.500686123881711609e+01,0.000000000000000000e+00,-6.883757390980122727e+04
2.300000000000000000e+01,1.200028238342539522e-01,2.501750711736815447e+01,0.000000000000000000e+00,-6.955743291352174128e+04
2.400000000000000000e+01,1.237908023374812289e-01,2.501614359477516558e+01,0.000000000000000000e+00,-7.030891392867997638e+04
2.500000000000000000e+01,1.270984251378731167e-01,2.500767352858386161e+01,0.000000000000000000e+00,-7.108793036728791776e+04
2.600000000000000000e+01,1.305228638617019765e-01,2.500488464539525424e+01,0.000000000000000000e+00,-7.189468036109220702e+04
2.700000000000000000e+01,1.342768600743128316e-01,2.500731164972556897e+01,0.000000000000000000e+00,-7.272779303389214328e+04
2.800000000000000000e+01,1.379146011868702115e-01,2.501556566165781703e+01,0.000000000000000000e+00,-7.358889674639984150e+04
2.900000000000000000e+01,1.412668318879322649e-01,2.500158417027226321e+01,0.000000000000000000e+00,-7.447648261768749217e+04
3.000000000000000000e+01,1.442827138214499150e-01,2.500632361221791555e+01,0.000000000000000000e+00,-7.538675835571924108e+04
3.100000000000000000e+01,1.436022140060846386e-01,2.501060854532956412e+01,7.399745751172304153e-03,-7.632308551685800194e+04
3.200000000000000000e+01,1.436985982344516355e-01,2.500487734339778356e+01,0.000000000000000000e+00,-7.728327267773762287e+04
3.300000000000000000e+01,1.441875720337051081e-01,2.501727903385983964e+01,0.000000000000000000e+00,-7.826135827589934343e+04
3.400000000000000000e+01,1.448531841122275843e-01,2.500758668347934588e+01,0.000000000000000000e+00,-7.926377723449200857e+04
3.500000000000000000e+01,1.455794762061060343e-01,2.500840741100331144e+01,0.000000000000000000e+00,-8.028875693885036162e+04
3.600000000000000000e+01,1.462918696718006062e-01,2.500639965204534576e+01,0.000000000000000000e+00,-8.133288237426833075e+04
3.700000000000000000e+01,1.476954369946962831e-01,2.501810673080551695e+01,0.000000000000000000e+00,-8.239816554028145038e+04
3.800000000000000000e+01,1.493479931786618475e-01,2.500794156919474176e+01,0.000000000000000000e+00,-8.348166053881995322e+04
3.900000000000000000e+01,1.510290926384836030e-01,2.500662675036348404e+01,0.000000000000000000e+00,-8.458551831641516765e+04
4.000000000000000000e+01,1.526348622378873032e-01,2.501654052965530539e+01,0.000000000000000000e+00,-8.570290086165638058e+04
4.100000000000000000e+01,1.587563719268770546e-01,2.501614792948160471e+01,0.000000000000000000e+00,-8.683803571180344443e+04
4.200000000000000000e+01,1.651247095719074187e-01,2.502605187618629401e+01,0.000000000000000000e+00,-8.799107005204906454e+04
4.300000000000000000e+01,1.711099794250312001e-01,2.502858886949042017e+01,0.000000000000000000e+00,-8.915597569362309878e+04
4.400000000000000000e+01,1.765210290939374094e-01,2.502970476513730347e+01,0.000000000000000000e+00,-9.033635444081800233e+04
4.500000000000000000e+01,1.813257434652914835e-01,2.504349597495978230e+01,0.000000000000000000e+00,-9.153144880340846430e+04
4.600000000000000000e+01,1.720582320727186143e-01,2.504155548509107021e+01,0.000000000000000000e+00,-9.273597888645296916e+04
4.700000000000000000e+01,1.641949876090958715e-01,2.506628368426300213e+01,0.000000000000000000e+00,-9.394969415710007888e+04
4.800000000000000000e+01,1.575297340800114743e-01,2.504472690986269612e+01,0.000000000000000000e+00,-9.517586243874501088e+04
4.900000000000000000e+01,1.518724762590496768e-01,2.503586216800243491e+01,0.000000000000000000e+00,-9.641180788331165968e+04
5.000000000000000000e+01,1.470631744125647233e-01,2.504630808589377011e+01,0.000000000000000000e+00,-9.765559562645264668e+04
5.100000000000000000e+01,1.430571563645972877e-01,2.503661125812966048e+01,0.000000000000000000e+00,-9.890572167869166879e+04
5.200000000000000000e+01,1.400180139606428675e-01,2.502872786560723739e+01,0.000000000000000000e+00,-1.001634518168859504e+05
5.300000000000000000e+01,1.376855218645943457e-01,2.504147459755404270e+01,0.000000000000000000e+00,-1.014259091166228754e+05
5.400000000000000000e+01,1.358665578476545566e-01,2.503572125858413600e+01,0.000000000000000000e+00,-1.026938958657682088e+05
5.500000000000000000e+01,1.344278183810592719e-01,2.503888121760306973e+01,0.000000000000000000e+00,-1.039633548805962346e+05
5.600000000000000000e+01,1.306771370975207402e-01,2.503322345213589628e+01,0.000000000000000000e+00,-1.052368214894615376e+05
5.700000000000000000e+01,1.277849125494381621e-01,2.501862084058529234e+01,0.000000000000000000e+00,-1.065127573638358153e+05
5.800000000000000000e+01,1.255335469953696714e-01,2.501572127232848075e+01,0.000000000000000000e+00,-1.077904394329639326e+05
5.900000000000000000e+01,1.237554254428064049e-01,2.501616783581528125e+01,0.000000000000000000e+00,-1.090693763349951769e+05
6.000000000000000000e+01,1.223318081673163416e-01,2.501865666087785556e+01,0.000000000000000000e+00,-1.103456632181055174e+05
6.100000000000000000e+01,1.253613108190224368e-01,2.501651306739609026e+01,-2.203071257099509239e-03,-1.116207625275966275e+05
6.200000000000000000e+01,1.287200560208872913e-01,2.502052680472148438e+01,0.000000000000000000e+00,-1.128925573633126915e+05
6.300000000000000000e+01,1.319959602243156449e-01,2.502437696748616247e+01,0.000000000000000000e+00,-1.141618201199005416e+05
6.400000000000000000e+01,1.350272786408148740e-01,2.503930467434451046e+01,0.000000000000000000e+00,-1.154276134862968174e+05
6.500000000000000000e+01,1.377623117519257145e-01,2.504316292768624663e+01,0.000000000000000000e+00,-1.166850677231479494e+05
6.600000000000000000e+01,1.413538686792963073e-01,2.504450891029799919e+01,0.000000000000000000e+00,-1.179404373474988679e+05
6.700000000000000000e+01,1.453395465826334831e-01,2.505173150718966113e+01,0.000000000000000000e+00,-1.191835814910691406e+05
6.800000000000000000e+01,1.492198403499656600e-01,2.504865830710295427e+01,0.000000000000000000e+00,-1.204212780097719224e+05
6.900000000000000000e+01,1.528038932186391308e-01,2.504835543031059686e+01,0.000000000000000000e+00,-1.216525900784717815e+05
7.000000000000000000e+01,1.560326954727520588e-01,2.503766401558080545e+01,0.000000000000000000e+00,-1.228760313562057418e+05
7.100000000000000000e+01,1.569488062538410000e-01,2.504008948363244613e+01,0.000000000000000000e+00,-1.240851230343887582e+05
7.200000000000000000e+01,1.586172540907461737e-01,2.502635210240547892e+01,0.000000000000000000e+00,-1.252841516646539385e+05
7.300000000000000000e+01,1.605424196658114255e-01,2.502763457865739838e+01,0.000000000000000000e+00,-1.264708894225602562e+05
7.400000000000000000e+01,1.624820408452387344e-01,2.501246109897285308e+01,0.000000000000000000e+00,-1.276467596414279396e+05
7.500000000000000000e+01,1.643241655435765114e-01,2.499230742998078014e+01,0.000000000000000000e+00,-1.288103521354419645e+05
7.600000000000000000e+01,1.549463072041817602e-01,2.500630606706502945e+01,0.000000000000000000e+00,-1.299593777876580571e+05
7.700000000000000000e+01,1.467995804505237978e-01,2.501611094074998931e+01,0.000000000000000000e+00,-1.310931258734607254e+05
7.800000000000000000e+01,1.397376856477118845e-01,2.503387660581870833e+01,0.000000000000000000e+00,-1.322127825364544697e+05
7.900000000000000000e+01,1.336220343994114212e-01,2.505188257334114610e+01,0.000000000000000000e+00,-1.333158957236946444e+05
8.000000000000000000e+01,1.283276914991570428e-01,2.505058562376356690e+01,0.000000000000000000e+00,-1.344052329484307847e+05
8.100000000000000000e+01,1.349721067004822361e-01,2.505796270127380865e+01,0.000000000000000000e+00,-1.354751658151765878e+05
8.200000000000000000e+01,1.416248965126139514e-01,2.506001009800655055e+01,0.000000000000000000e+00,-1.365315226692557917e+05
8.300000000000000000e+01,1.477611675123968737e-01,2.506971094944131551e+01,0.000000000000000000e+00,-1.375686642928093497e+05
8.400000000000000000e+01,1.532464116812322641e-01,2.506996817968839508e+01,0.000000000000000000e+00,-1.385872849797830277e+05
8.500000000000000000e+01,1.580814723756958640e-01,2.508653695889017854e+01,0.000000000000000000e+00,-1.395838712172697997e+05
8.600000000000000000e+01,1.662052997904087670e-01,2.509643329943119383e+01,0.000000000000000000e+00,-1.405617896084024687e+05
8.700000000000000000e+01,1.743259240815625000e-01,2.510114834427785979e+01,0.000000000000000000e+00,-1.415154953183922335e+05
8.800000000000000000e+01,1.818143035406694641e-01,2.511114177640406808e+01,0.000000000000000000e+00,-1.424532146860822395e+05
8.900000000000000000e+01,1.885084672834829445e-01,2.511503166253713459e+01,0.000000000000000000e+00,-1.433722675044502830e+05
9.000000000000000000e+01,1.944097077387736960e-01,2.512336976980756731e+01,0.000000000000000000e+00,-1.442682953888003831e+05
9.100000000000000000e+01,2.097713988316804723e-01,2.513480148543628445e+01,-1.017400296404957771e-03,-1.451459931793042924e+05
9.200000000000000000e+01,2.244882972773253327e-01,2.515753352861298708e+01,0.000000000000000000e+00,-1.460000018964047485e+05
9.300000000000000000e+01,2.377137305222556951e-01,2.515708876041921016e+01,0.000000000000000000e+00,-1.468299296905192023e+05
9.400000000000000000e+01,2.493422268003439579e-01,2.513880946724083998e+01,0.000000000000000000e+00,-1.476380956147687102e+05
9.500000000000000000e+01,2.594775719051990448e-01,2.516605357192142733e+01,0.000000000000000000e+00,-1.484228981888215058e+05
9.600000000000000000e+01,2.673395986717891915e-01,2.517358796920801112e+01,0.000000000000000000e+00,-1.491869708590080263e+05
9.700000000000000000e+01,2.758598562324401371e-01,2.516801756615393870e+01,0.000000000000000000e+00,-1.499232555636600300e+05
9.800000000000000000e+01,2.840529668147961928e-01,2.516929471022491072e+01,0.000000000000000000e+00,-1.506359594178349944e+05
