Time(s),Control_Sequence,Temperature(℃),SOH_Loss,Target_Power
1.000000000000000000e+00,3.311295235177569296e-02,2.502758989833446890e+01,3.167776623740792274e-03,-2.404416787195620145e+03
2.000000000000000000e+00,5.691953652446161971e-02,2.503754378200671127e+01,0.000000000000000000e+00,-2.403822895149669876e+03
3.000000000000000000e+00,7.568872163197008784e-02,2.503455500215286023e+01,0.000000000000000000e+00,-2.404636274946012691e+03
4.000000000000000000e+00,9.099852965356422518e-02,2.504345961536810705e+01,0.000000000000000000e+00,-2.407054111177719733e+03
5.000000000000000000e+00,1.037114238265434973e-01,2.503474499952594812e+01,0.000000000000000000e+00,-2.410818267416399067e+03
6.000000000000000000e+00,1.126950400195941004e-01,2.503487106080054048e+01,0.000000000000000000e+00,-2.416344942666741645e+03
7.000000000000000000e+00,1.211914528176089023e-01,2.502638841874927422e+01,0.000000000000000000e+00,-2.423702448752545024e+03
8.000000000000000000e+00,1.287782988573909493e-01,2.502653695172136850e+01,0.000000000000000000e+00,-2.432613280336721800e+03
9.000000000000000000e+00,1.354240646562213379e-01,2.502918272957359846e+01,0.000000000000000000e+00,-2.442947244082627094e+03
1.000000000000000000e+01,1.412022438733974705e-01,2.502540738664881204e+01,0.000000000000000000e+00,-2.454890038066776924e+03
1.100000000000000000e+01,1.483033176017450605e-01,2.503701965699298881e+01,0.000000000000000000e+00,-2.468420872362271439e+03
1.200000000000000000e+01,1.554621265974086841e-01,2.503936094091632469e+01,0.000000000000000000e+00,-2.483594953256487315e+03
1.300000000000000000e+01,1.620845579157114136e-01,2.504896421692162534e+01,0.000000000000000000e+00,-2.500037362781491083e+03
1.400000000000000000e+01,1.680138007316392956e-01,2.505891618331881077e+01,0.000000000000000000e+00,-2.518072766388632772e+03
1.500000000000000000e+01,1.732453729478141136e-01,2.505424740235713799e+01,0.000000000000000000e+00,-2.537509091468010865e+03
1.600000000000000000e+01,1.725648455313358309e-01,2.505788603547977189e+01,0.000000000000000000e+00,-2.558831713469675833e+03
1.700000000000000000e+01,1.728636312996713609e-01,2.507756333155917972e+01,0.000000000000000000e+00,-2.581496467937100988e+03
1.800000000000000000e+01,1.736375888439405935e-01,2.506925473818761674e+01,0.000000000000000000e+00,-2.605298081450526752e+03
1.900000000000000000e+01,1.746115516251801614e-01,2.505570285717360335e+01,0.000000000000000000e+00,-2.630856329285204993e+03
2.000000000000000000e+01,1.756412561514854032e-01,2.504096828953171539e+01,0.000000000000000000e+00,-2.657706529701054023e+03
2.100000000000000000e+01,1.736379469689614263e-01,2.502453812938858846e+01,0.000000000000000000e+00,-2.686177384967543276e+03
2.200000000000000000e+01,1.727264675440073061e-01,2.501631967268294332e+01,0.000000000000000000e+00,-2.715927689845254463e+03
2.300000000000000000e+01,1.724362133516971485e-01,2.502269045211542675e+01,0.000000000000000000e+00,-2.746819477275224017e+03
2.400000000000000000e+01,1.724880363617988244e-01,2.500366777885409064e+01,0.000000000000000000e+00,-2.779298713198872065e+03
2.500000000000000000e+01,1.727228940803592350e-01,2.500251588027584049e+01,0.000000000000000000e+00,-2.813228860450079083e+03
2.600000000000000000e+01,1.750376937340517580e-01,2.500669363317057048e+01,0.000000000000000000e+00,-2.848536373352556893e+03
2.700000000000000000e+01,1.781105464405654537e-01,2.501934632401328074e+01,0.000000000000000000e+00,-2.884886653032565391e+03
2.800000000000000000e+01,1.813279190861466494e-01,2.501776445855700004e+01,0.000000000000000000e+00,-2.923102978167655692e+03
2.900000000000000000e+01,1.844183157083449931e-01,2.502471297669628214e+01,0.000000000000000000e+00,-2.962298449742051162e+03
3.000000000000000000e+01,1.872710268550204227e-01,2.504049150175829652e+01,0.000000000000000000e+00,-3.002577078228770006e+03
