Time(s),Control_Sequence,Temperature(℃),SOH_Loss,Target_Power
1.000000000000000000e+00,3.871748506876367124e-02,2.499275870495698726e+01,1.674006693065166473e-02,-3.243049973471005796e+05
2.000000000000000000e+00,6.539987962987531267e-02,2.499964533098489028e+01,0.000000000000000000e+00,-3.242369029477355652e+05
3.000000000000000000e+00,8.567588589424243728e-02,2.501232237803314717e+01,0.000000000000000000e+00,-3.241517813909185352e+05
4.000000000000000000e+00,1.016250642828935707e-01,2.502243361073807648e+01,0.000000000000000000e+00,-3.240471037802611827e+05
5.000000000000000000e+00,1.143809456182026674e-01,2.501804808490371457e+01,0.000000000000000000e+00,-3.239189767449222272e+05
6.000000000000000000e+00,1.144276198858457244e-01,2.501548691562059545e+01,0.000000000000000000e+00,-3.237770084458262427e+05
7.000000000000000000e+00,1.149828492080966352e-01,2.503849818116124126e+01,0.000000000000000000e+00,-3.236192019543629722e+05
8.000000000000000000e+00,1.157700602038787274e-01,2.505217787164024301e+01,0.000000000000000000e+00,-3.234424581016617012e+05
9.000000000000000000e+00,1.166367752246540573e-01,2.504650125806312744e+01,0.000000000000000000e+00,-3.232470679388864664e+05
1.000000000000000000e+01,1.175042095949141441e-01,2.505104010031672956e+01,0.000000000000000000e+00,-3.230274600417796755e+05
1.100000000000000000e+01,1.247554880208305017e-01,2.505026943357363933e+01,0.000000000000000000e+00,-3.227903019429303822e+05
1.200000000000000000e+01,1.318649875012203043e-01,2.505625882589635012e+01,0.000000000000000000e+00,-3.225391632724360097e+05
1.300000000000000000e+01,1.383558720301086842e-01,2.508327974804047145e+01,0.000000000000000000e+00,-3.222654131500202930e+05
1.400000000000000000e+01,1.441293871504770729e-01,2.509735031501176294e+01,0.000000000000000000e+00,-3.219761065509626060e+05
1.500000000000000000e+01,1.492091929239980908e-01,2.509685406784702977e+01,0.000000000000000000e+00,-3.216675911899798666e+05
1.600000000000000000e+01,1.607194859398859421e-01,2.510197329456181237e+01,0.000000000000000000e+00,-3.213468894904498011e+05
1.700000000000000000e+01,1.717271915246392777e-01,2.510952395614316401e+01,0.000000000000000000e+00,-3.210034294599565910e+05
1.800000000000000000e+01,1.816217921374757016e-01,2.511764616292457575e+01,0.000000000000000000e+00,-3.206398420523633831e+05
