Time(s),Comp_Power(W),Temperature(℃),SOH_Loss(%)
0.000000000000000000e+00,0.000000000000000000e+00,2.507776912246258050e+01,-1.611832343041896820e-02
1.000000000000000000e+00,0.000000000000000000e+00,2.511880993806166629e+01,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,2.515286584391683888e+01,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,2.519097457232088288e+01,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,2.522023914366509345e+01,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,2.525581755156490615e+01,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,2.531473794116294940e+01,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00,2.535335384895898869e+01,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,2.538727839491360427e+01,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,2.544011677609075406e+01,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,2.547393015866479971e+01,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,2.551888912347258298e+01,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,2.556354160041419732e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,2.561211980140823030e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,2.565432262541271058e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,2.567818060551367410e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,2.571466247378377901e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,2.573927458003620927e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,2.578997272511326955e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,2.583240108689684433e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,2.587754364318526257e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,2.591352869258002301e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,2.596411033951873648e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00,2.600636147850458713e+01,0.000000000000000000e+00
2.400000000000000000e+01,3.000000000000000000e+02,2.605234606565647937e+01,0.000000000000000000e+00
2.500000000000000000e+01,6.000000000000000000e+02,2.609495259999135541e+01,0.000000000000000000e+00
2.600000000000000000e+01,9.000000000000000000e+02,2.610861490435441823e+01,0.000000000000000000e+00
2.700000000000000000e+01,1.200000000000000000e+03,2.614560065472072381e+01,0.000000000000000000e+00
2.800000000000000000e+01,1.500000000000000000e+03,2.616490008217184737e+01,0.000000000000000000e+00
2.900000000000000000e+01,1.800000000000000000e+03,2.618096824620435115e+01,0.000000000000000000e+00
3.000000000000000000e+01,2.100000000000000000e+03,2.619630719130226382e+01,-9.691701270639896393e-03
3.100000000000000000e+01,2.400000000000000000e+03,2.621975093713837524e+01,0.000000000000000000e+00
3.200000000000000000e+01,2.700000000000000000e+03,2.623782625051236295e+01,0.000000000000000000e+00
3.300000000000000000e+01,3.000000000000000000e+03,2.626093919255314901e+01,0.000000000000000000e+00
3.400000000000000000e+01,3.000000000000000000e+03,2.626884858544469026e+01,0.000000000000000000e+00
3.500000000000000000e+01,3.000000000000000000e+03,2.627561527093304505e+01,0.000000000000000000e+00
3.600000000000000000e+01,3.000000000000000000e+03,2.627850446594921507e+01,0.000000000000000000e+00
3.700000000000000000e+01,3.000000000000000000e+03,2.629710547150249411e+01,0.000000000000000000e+00
3.800000000000000000e+01,3.000000000000000000e+03,2.632680017140254947e+01,0.000000000000000000e+00
3.900000000000000000e+01,3.000000000000000000e+03,2.632744491700087863e+01,0.000000000000000000e+00
4.000000000000000000e+01,3.000000000000000000e+03,2.636251334661292489e+01,0.000000000000000000e+00
4.100000000000000000e+01,3.000000000000000000e+03,2.637843197701962694e+01,0.000000000000000000e+00
4.200000000000000000e+01,3.000000000000000000e+03,2.639069954617796654e+01,0.000000000000000000e+00
4.300000000000000000e+01,3.000000000000000000e+03,2.640879740846103019e+01,0.000000000000000000e+00
4.400000000000000000e+01,3.000000000000000000e+03,2.641899646153888170e+01,0.000000000000000000e+00
4.500000000000000000e+01,3.000000000000000000e+03,2.644133880032903861e+01,0.000000000000000000e+00
4.600000000000000000e+01,3.000000000000000000e+03,2.646945249139445622e+01,0.000000000000000000e+00
4.700000000000000000e+01,3.000000000000000000e+03,2.648676021422040350e+01,0.000000000000000000e+00
4.800000000000000000e+01,3.000000000000000000e+03,2.649866881287578835e+01,0.000000000000000000e+00
4.900000000000000000e+01,3.000000000000000000e+03,2.652070880470856906e+01,0.000000000000000000e+00
5.000000000000000000e+01,3.000000000000000000e+03,2.653788491025942164e+01,0.000000000000000000e+00
5.100000000000000000e+01,3.000000000000000000e+03,2.657636394151398918e+01,0.000000000000000000e+00
5.200000000000000000e+01,3.000000000000000000e+03,2.659651498386963553e+01,0.000000000000000000e+00
5.300000000000000000e+01,3.000000000000000000e+03,2.662532054728393760e+01,0.000000000000000000e+00
5.400000000000000000e+01,3.000000000000000000e+03,2.665250676629005611e+01,0.000000000000000000e+00
5.500000000000000000e+01,3.000000000000000000e+03,2.668811259884346043e+01,0.000000000000000000e+00
5.600000000000000000e+01,3.000000000000000000e+03,2.671681023722446469e+01,0.000000000000000000e+00
5.700000000000000000e+01,3.000000000000000000e+03,2.674652900135644273e+01,0.000000000000000000e+00
5.800000000000000000e+01,3.000000000000000000e+03,2.677055537448058331e+01,0.000000000000000000e+00
5.900000000000000000e+01,3.000000000000000000e+03,2.679894977472384454e+01,0.000000000000000000e+00
6.000000000000000000e+01,3.000000000000000000e+03,2.680659079362347086e+01,5.889330990612506866e-03
6.100000000000000000e+01,3.000000000000000000e+03,2.684403204581800040e+01,0.000000000000000000e+00
6.200000000000000000e+01,3.000000000000000000e+03,2.686106433132634663e+01,0.000000000000000000e+00
6.300000000000000000e+01,3.000000000000000000e+03,2.689274388817117867e+01,0.000000000000000000e+00
6.400000000000000000e+01,3.000000000000000000e+03,2.691830438452779006e+01,0.000000000000000000e+00
6.500000000000000000e+01,3.000000000000000000e+03,2.692763307531786410e+01,0.000000000000000000e+00
6.600000000000000000e+01,3.000000000000000000e+03,2.693882743328543583e+01,0.000000000000000000e+00
6.700000000000000000e+01,3.000000000000000000e+03,2.694059249137097822e+01,0.000000000000000000e+00
6.800000000000000000e+01,3.000000000000000000e+03,2.696110896040858051e+01,0.000000000000000000e+00
6.900000000000000000e+01,3.000000000000000000e+03,2.697888234124070550e+01,0.000000000000000000e+00
7.000000000000000000e+01,3.000000000000000000e+03,2.697549487931903300e+01,0.000000000000000000e+00
7.100000000000000000e+01,3.000000000000000000e+03,2.696433071620760202e+01,0.000000000000000000e+00
7.200000000000000000e+01,3.000000000000000000e+03,2.699016629217862118e+01,0.000000000000000000e+00
7.300000000000000000e+01,3.000000000000000000e+03,2.701018616130101080e+01,0.000000000000000000e+00
7.400000000000000000e+01,3.000000000000000000e+03,2.704266725204496069e+01,0.000000000000000000e+00
7.500000000000000000e+01,3.000000000000000000e+03,2.708509630009067237e+01,0.000000000000000000e+00
7.600000000000000000e+01,3.000000000000000000e+03,2.711918534705899475e+01,0.000000000000000000e+00
7.700000000000000000e+01,3.000000000000000000e+03,2.713816286174910886e+01,0.000000000000000000e+00
7.800000000000000000e+01,3.000000000000000000e+03,2.713695825023841479e+01,0.000000000000000000e+00
7.900000000000000000e+01,3.000000000000000000e+03,2.715338635077474905e+01,0.000000000000000000e+00
8.000000000000000000e+01,3.000000000000000000e+03,2.715745940822637650e+01,0.000000000000000000e+00
8.100000000000000000e+01,3.000000000000000000e+03,2.717242261727943031e+01,0.000000000000000000e+00
8.200000000000000000e+01,3.000000000000000000e+03,2.718733513388075806e+01,0.000000000000000000e+00
8.300000000000000000e+01,3.000000000000000000e+03,2.720790906461106573e+01,0.000000000000000000e+00
8.400000000000000000e+01,3.000000000000000000e+03,2.722331889786569192e+01,0.000000000000000000e+00
8.500000000000000000e+01,3.000000000000000000e+03,2.724253495640141765e+01,0.000000000000000000e+00
8.600000000000000000e+01,3.000000000000000000e+03,2.726875340206983722e+01,0.000000000000000000e+00
8.700000000000000000e+01,3.000000000000000000e+03,2.727295305940079828e+01,0.000000000000000000e+00
8.800000000000000000e+01,3.000000000000000000e+03,2.729962245672181353e+01,0.000000000000000000e+00
8.900000000000000000e+01,3.000000000000000000e+03,2.731045009652061495e+01,0.000000000000000000e+00
9.000000000000000000e+01,3.000000000000000000e+03,2.732777771933157851e+01,1.064611971378326416e-02
9.100000000000000000e+01,3.000000000000000000e+03,2.734712894337893374e+01,0.000000000000000000e+00
9.200000000000000000e+01,3.000000000000000000e+03,2.736731427662602556e+01,0.000000000000000000e+00
9.300000000000000000e+01,3.000000000000000000e+03,2.739095227274773947e+01,0.000000000000000000e+00
9.400000000000000000e+01,3.000000000000000000e+03,2.741628657141180270e+01,0.000000000000000000e+00
9.500000000000000000e+01,3.000000000000000000e+03,2.743966299294251598e+01,0.000000000000000000e+00
9.600000000000000000e+01,3.000000000000000000e+03,2.746439220194022823e+01,0.000000000000000000e+00
9.700000000000000000e+01,3.000000000000000000e+03,2.747353518887582169e+01,0.000000000000000000e+00
9.800000000000000000e+01,3.000000000000000000e+03,2.748072160853893209e+01,0.000000000000000000e+00
9.900000000000000000e+01,3.000000000000000000e+03,2.749985784300934455e+01,0.000000000000000000e+00
1.000000000000000000e+02,3.000000000000000000e+03,2.750909322755671838e+01,0.000000000000000000e+00
1.010000000000000000e+02,3.000000000000000000e+03,2.751928311639608182e+01,0.000000000000000000e+00
1.020000000000000000e+02,3.000000000000000000e+03,2.752659701827270311e+01,0.000000000000000000e+00
1.030000000000000000e+02,3.000000000000000000e+03,2.755297482797837105e+01,0.000000000000000000e+00
1.040000000000000000e+02,3.000000000000000000e+03,2.755652144591752872e+01,0.000000000000000000e+00
1.050000000000000000e+02,3.000000000000000000e+03,2.756121029995607330e+01,0.000000000000000000e+00
1.060000000000000000e+02,3.000000000000000000e+03,2.758075903396014539e+01,0.000000000000000000e+00
1.070000000000000000e+02,3.000000000000000000e+03,2.760524700367645679e+01,0.000000000000000000e+00
1.080000000000000000e+02,3.000000000000000000e+03,2.763867862870658243e+01,0.000000000000000000e+00
1.090000000000000000e+02,3.000000000000000000e+03,2.765210598300452816e+01,0.000000000000000000e+00
1.100000000000000000e+02,3.000000000000000000e+03,2.765577948260112606e+01,0.000000000000000000e+00
1.110000000000000000e+02,3.000000000000000000e+03,2.767832547537827992e+01,0.000000000000000000e+00
1.120000000000000000e+02,3.000000000000000000e+03,2.770239181691146158e+01,0.000000000000000000e+00
1.130000000000000000e+02,3.000000000000000000e+03,2.772656947914362391e+01,0.000000000000000000e+00
1.140000000000000000e+02,3.000000000000000000e+03,2.775494274360882230e+01,0.000000000000000000e+00
1.150000000000000000e+02,3.000000000000000000e+03,2.777476341988582575e+01,0.000000000000000000e+00
1.160000000000000000e+02,3.000000000000000000e+03,2.779896951526390581e+01,0.000000000000000000e+00
1.170000000000000000e+02,3.000000000000000000e+03,2.782705875455731714e+01,0.000000000000000000e+00
1.180000000000000000e+02,3.000000000000000000e+03,2.785731385570650076e+01,0.000000000000000000e+00
1.190000000000000000e+02,3.000000000000000000e+03,2.787003396854988679e+01,0.000000000000000000e+00
1.200000000000000000e+02,3.000000000000000000e+03,2.786844413379572671e+01,-1.055908069247379899e-04
1.210000000000000000e+02,3.000000000000000000e+03,2.786954258620780678e+01,0.000000000000000000e+00
1.220000000000000000e+02,3.000000000000000000e+03,2.789529531759097125e+01,0.000000000000000000e+00
1.230000000000000000e+02,3.000000000000000000e+03,2.792835606282677929e+01,0.000000000000000000e+00
1.240000000000000000e+02,3.000000000000000000e+03,2.794016768148140173e+01,0.000000000000000000e+00
